,Sample ID,Lab code,Sampling date,Sample_location,Street No.,Vendor No.,edge_case,Stall_corrected,Stall_corrected_merged,Sample type,Sample information,SARS-CoV-2 qPCR result,Latitude,Longitude,Stall_corrected_latitude,Stall_corrected_longitude,Stall_merged_latitude,Stall_merged_longitude
478,Env_0291,E77,01/01/2020,East,1,25-27,,East|1|25-27,East|1|25-27,Environmental swab,Surface of chopping board,Negative,30.619438,114.258026,30.619438,114.258026,30.619438,114.258026
476,Env_0289,E75,01/01/2020,East,1,,,East|1|NA,East|1|NA,Environmental swab,Surface of chopping board,Negative,,,,,,
477,Env_0290,E76,01/01/2020,East,1,,,East|1|NA,East|1|NA,Environmental swab,Sewage on floor,Negative,,,,,,
485,Env_0297,E83,01/01/2020,East,10,15-17,,East|10|15-17,East|10|15-17,Environmental swab,Surface of cart,Negative,30.620187,114.257633,30.620187,114.257633,30.620187,114.257633
488,Env_0300,E86,01/01/2020,East,10,5,,East|10|5,East|10|5,Environmental swab,Inner surface of basin,Negative,30.620149,114.257473,30.620149,114.257473,30.620149,114.257473
442,Env_0258,E44,01/01/2020,East,11,6,,East|11|6,East|11|6,Environmental swab,Trash cans,Negative,30.620187,114.257462,30.620187,114.257462,30.620187,114.257462
443,Env_0259,E45,01/01/2020,East,11,8,,East|11|8,East|11|8,Environmental swab,Blood on the ground,Negative,30.620197,114.257494,30.620197,114.257494,30.620197,114.257494
445,Env_0261,E47,01/01/2020,East,11,8,,East|11|8,East|11|8,Environmental swab,Table top,Negative,30.620197,114.257494,30.620197,114.257494,30.620197,114.257494
444,Env_0260,E46,01/01/2020,East,11,9,,East|11|9,East|11|9,Environmental swab,Trash cans floor,Negative,30.620279,114.257494,30.620279,114.257494,30.620279,114.257494
472,Env_0285,E71,01/01/2020,East,2,,,East|2|NA,East|2|NA,Environmental swab,Shelf for meat,Negative,,,,,,
473,Env_0286,E72,01/01/2020,East,2,,,East|2|NA,East|2|NA,Environmental swab,Surface of cart,Negative,,,,,,
474,Env_0287,E73,01/01/2020,East,2,,,East|2|NA,East|2|NA,Environmental swab,Table for meta selling,Negative,,,,,,
475,Env_0288,E74,01/01/2020,East,2,,,East|2|NA,East|2|NA,Environmental swab,Surface of chopping board,Negative,,,,,,
467,Env_0281,E67,01/01/2020,East,4,,Can be assigned 4-24 because it is the only stall sampled in row 4 on East side.,East|4|24,East|4|24,Environmental swab,Table top,Negative,30.619718,114.257892,30.619718,114.257892,30.619718,114.257892
468,Env_0282,E68,01/01/2020,East,4,,Can be assigned 4-24 because it is the only stall sampled in row 4 on East side.,East|4|24,East|4|24,Environmental swab,Surface of shelf for meat selling,Negative,30.619718,114.257892,30.619718,114.257892,30.619718,114.257892
469,Env_0283,E69,01/01/2020,East,4,,Can be assigned 4-24 because it is the only stall sampled in row 4 on East side.,East|4|24,East|4|24,Environmental swab,Sewage on floor,Negative,30.619718,114.257892,30.619718,114.257892,30.619718,114.257892
471,Env_0284,E70,01/01/2020,East,4,,Can be assigned 4-24 because it is the only stall sampled in row 4 on East side.,East|4|24,East|4|24,Environmental swab,Surface of cart,Negative,30.619718,114.257892,30.619718,114.257892,30.619718,114.257892
479,Env_0292,E78,01/01/2020,East,4,27,,East|4|27,East|4|27,Environmental swab,Surface of the door,Negative,30.619678,114.257961,30.619678,114.257961,30.619678,114.257961
480,Env_0293,E79,01/01/2020,East,4,27,,East|4|27,East|4|27,Environmental swab,Surface of cart,Negative,30.619678,114.257961,30.619678,114.257961,30.619678,114.257961
463,Env_0277,E63,01/01/2020,East,5,1-3-5-7-9,,East|5|1-3-5-7-9,East|5|1-3-5-7-9,Environmental swab,Table top,Negative,30.619686,114.257623,30.619686,114.257623,30.619686,114.257623
464,Env_0278,E64,01/01/2020,East,5,1-3-5-7-9,,East|5|1-3-5-7-9,East|5|1-3-5-7-9,Environmental swab,Water in fishbowl,Negative,30.619686,114.257623,30.619686,114.257623,30.619686,114.257623
465,Env_0279,E65,01/01/2020,East,5,1-3-5-7-9,,East|5|1-3-5-7-9,East|5|1-3-5-7-9,Environmental swab,Basin for seafood,Negative,30.619686,114.257623,30.619686,114.257623,30.619686,114.257623
466,Env_0280,E66,01/01/2020,East,5,1-3-5-7-9,,East|5|1-3-5-7-9,East|5|1-3-5-7-9,Environmental swab,Scale,Negative,30.619686,114.257623,30.619686,114.257623,30.619686,114.257623
462,Env_0276,E62,01/01/2020,East,5,8-10,,East|5|8-10,East|5|8-10,Environmental swab,Surface of cart,Negative,30.619747,114.257649,30.619747,114.257649,30.619747,114.257649
458,Env_0273,E59,01/01/2020,East,6,1-3,,East|6|1-3,East|6|1-3,Environmental swab,Surface of foam box,Negative,30.619752,114.257556,30.619752,114.257556,30.619752,114.257556
460,Env_0274,E60,01/01/2020,East,6,1-3,,East|6|1-3,East|6|1-3,Environmental swab,Surface of food,Negative,30.619752,114.257556,30.619752,114.257556,30.619752,114.257556
461,Env_0275,E61,01/01/2020,East,6,1-3,,East|6|1-3,East|6|1-3,Environmental swab,Ground,Positive,30.619752,114.257556,30.619752,114.257556,30.619752,114.257556
455,Env_0270,E56,01/01/2020,East,6,17-19,,East|6|17-19,East|6|17-19,Environmental swab,Surface of scale,Negative,30.619806,114.257783,30.619806,114.257783,30.619806,114.257783
456,Env_0271,E57,01/01/2020,East,6,17-19,,East|6|17-19,East|6|17-19,Environmental swab,Surface of fishing net,Negative,30.619806,114.257783,30.619806,114.257783,30.619806,114.257783
457,Env_0272,E58,01/01/2020,East,6,17-19,,East|6|17-19,East|6|17-19,Environmental swab,Water in fishbowl,Negative,30.619806,114.257783,30.619806,114.257783,30.619806,114.257783
454,Env_0269,E55,01/01/2020,East,6,23-25,,East|6|23-25,East|6|23-25,Environmental swab,Surface of apron,Negative,30.619827,114.257867,30.619827,114.257867,30.619827,114.257867
482,Env_0294,E80,01/01/2020,East,6,24-26,,East|6|24-26,East|6|24-26,Environmental swab,Gas tank,Negative,30.619875,114.257853,30.619875,114.257853,30.619875,114.257853
483,Env_0295,E81,01/01/2020,East,7,26,,East|7|26,East|7|26,Environmental swab,Sewage on floor,Negative,30.619957,114.257843,30.619957,114.257843,30.619957,114.257843
453,Env_0268,E54,01/01/2020,East,7,5,,East|7|5,East|7|5,Environmental swab,Container,Negative,30.61984,114.257572,30.61984,114.257572,30.61984,114.257572
425,Env_0243,E29,01/01/2020,East,8,19,,East|8|19,East|8|19,Environmental swab,Ground,Negative,30.619966,114.257749,30.619966,114.257749,30.619966,114.257749
427,Env_0244,E30,01/01/2020,East,8,19,,East|8|19,East|8|19,Environmental swab,Surface of scale,Negative,30.619966,114.257749,30.619966,114.257749,30.619966,114.257749
428,Env_0245,E31,01/01/2020,East,8,19,,East|8|19,East|8|19,Environmental swab,Surface of apron,Negative,30.619966,114.257749,30.619966,114.257749,30.619966,114.257749
429,Env_0246,E32,01/01/2020,East,8,19,,East|8|19,East|8|19,Environmental swab,Basin,Negative,30.619966,114.257749,30.619966,114.257749,30.619966,114.257749
430,Env_0247,E33,01/01/2020,East,8,19,,East|8|19,East|8|19,Environmental swab,Wall,Negative,30.619966,114.257749,30.619966,114.257749,30.619966,114.257749
431,Env_0248,E34,01/01/2020,East,8,19,,East|8|19,East|8|19,Environmental swab,Surface of cart,Negative,30.619966,114.257749,30.619966,114.257749,30.619966,114.257749
432,Env_0249,E35,01/01/2020,East,8,19,,East|8|19,East|8|19,Environmental swab,Table top,Negative,30.619966,114.257749,30.619966,114.257749,30.619966,114.257749
433,Env_0250,E36,01/01/2020,East,8,19,,East|8|19,East|8|19,Environmental swab,Surface of shoe,Negative,30.619966,114.257749,30.619966,114.257749,30.619966,114.257749
434,Env_0251,E37,01/01/2020,East,8,19,,East|8|19,East|8|19,Environmental swab,Fishing net,Negative,30.619966,114.257749,30.619966,114.257749,30.619966,114.257749
435,Env_0252,E38,01/01/2020,East,8,19,,East|8|19,East|8|19,Environmental swab,Water in fishbowl,Negative,30.619966,114.257749,30.619966,114.257749,30.619966,114.257749
441,Env_0257,E43,01/01/2020,East,8,2,,East|8|2,East|8|2,Environmental swab,Domestic water,Negative,30.619954,114.257477,30.619954,114.257477,30.619954,114.257477
450,Env_0265,E51,01/01/2020,East,8,28,,East|8|28,East|8|28,Environmental swab,Inner surface of foam box,Negative,30.620041,114.257846,30.620041,114.257846,30.620041,114.257846
451,Env_0266,E52,01/01/2020,East,8,28,,East|8|28,East|8|28,Environmental swab,Scale,Negative,30.620041,114.257846,30.620041,114.257846,30.620041,114.257846
452,Env_0267,E53,01/01/2020,East,8,28,,East|8|28,East|8|28,Environmental swab,Water in fishbowl,Negative,30.620041,114.257846,30.620041,114.257846,30.620041,114.257846
436,Env_0253,E39,01/01/2020,East,8,6,,East|8|6,East|8|6,Environmental swab,Water in fishbowl,Negative,30.619968,114.257533,30.619968,114.257533,30.619968,114.257533
438,Env_0254,E40,01/01/2020,East,8,6,,East|8|6,East|8|6,Environmental swab,Shrimp net,Negative,30.619968,114.257533,30.619968,114.257533,30.619968,114.257533
439,Env_0255,E41,01/01/2020,East,8,6,,East|8|6,East|8|6,Environmental swab,Wall,Negative,30.619968,114.257533,30.619968,114.257533,30.619968,114.257533
440,Env_0256,E42,01/01/2020,East,8,6,,East|8|6,East|8|6,Environmental swab,Surface of food,Negative,30.619968,114.257533,30.619968,114.257533,30.619968,114.257533
449,Env_0264,E50,01/01/2020,East,9,12-14,,East|9|12-14,East|9|12-14,Environmental swab,Blood on the ground in front of the door,Negative,30.620069,114.257609,30.620069,114.257609,30.620069,114.257609
447,Env_0263,E49,01/01/2020,East,9,16,,East|9|16,East|9|16,Environmental swab,Table top,Negative,30.62008,114.257651,30.62008,114.257651,30.62008,114.257651
486,Env_0298,E84,01/01/2020,East,9,16,,East|9|16,East|9|16,Environmental swab,Blood on the ground,Negative,30.62008,114.257651,30.62008,114.257651,30.62008,114.257651
