GISAID accession,GISAID name,Sample Date,Sample Name,Sample File 1,Sample File 2
EPI_ISL_13052326,hCoV-19/env/Hubei/IVDC-0002/2020,2020-01-01,A2,V300052234_L01_7_1.fg.gz,V300052234_L01_7_2.fg.gz
EPI_ISL_13052326,hCoV-19/env/Hubei/IVDC-0002/2020,2020-01-01,A2,V300052234_L02_7_1.fg.gz,V300052234_L02_7_2.fg.gz
EPI_ISL_13052326,hCoV-19/env/Hubei/IVDC-0002/2020,2020-01-01,A2,V300052234_L03_7_1.fg.gz,V300052234_L03_7_2.fg.gz
EPI_ISL_13052326,hCoV-19/env/Hubei/IVDC-0002/2020,2020-01-01,A2,V300052234_L04_7_1.fg.gz,V300052234_L04_7_2.fg.gz
EPI_ISL_13052323,hCoV-19/env/Hubei/IVDC-0014/2020,2020-01-01,A14,V300046953_L01_7_1.fq.gz,V300046953_L01_7_2.fq.gz
EPI_ISL_13052323,hCoV-19/env/Hubei/IVDC-0014/2020,2020-01-01,A14,V300046953_L02_7_1.fq.gz,V300046953_L02_7_2.fq.gz
EPI_ISL_13052323,hCoV-19/env/Hubei/IVDC-0014/2020,2020-01-01,A14,V300046953_L03_7_1.fq.gz,V300046953_L03_7_2.fq.gz
EPI_ISL_13052323,hCoV-19/env/Hubei/IVDC-0014/2020,2020-01-01,A14,V300046953_L04_7_1.fq.gz,V300046953_L04_7_2.fq.gz
EPI_ISL_13052324,hCoV-19/env/Hubei/IVDC-0015/2020,2020-01-01,A15,V300046953_L01_8_1.fq.gz,V300046953_L01_8_2.fq.gz
EPI_ISL_13052324,hCoV-19/env/Hubei/IVDC-0015/2020,2020-01-01,A15,V300046953_L02_8_1.fq.gz,V300046953_L02_8_2.fq.gz
EPI_ISL_13052324,hCoV-19/env/Hubei/IVDC-0015/2020,2020-01-01,A15,V300046953_L03_8_1.fq.gz,V300046953_L03_8_2.fq.gz
EPI_ISL_13052324,hCoV-19/env/Hubei/IVDC-0015/2020,2020-01-01,A15,V300046953_L04_8_1.fq.gz,V300046953_L04_8_2.fq.gz
EPI_ISL_13052325,hCoV-19/env/Hubei/IVDC-0018/2020,2020-01-01,A18,V300052234_L01_6_1.fg.gz,V300052234_L01_6_2.fg.gz
EPI_ISL_13052325,hCoV-19/env/Hubei/IVDC-0018/2020,2020-01-01,A18,V300052234_L02_6_1.fg.gz,V300052234_L02_6_2.fg.gz
EPI_ISL_13052325,hCoV-19/env/Hubei/IVDC-0018/2020,2020-01-01,A18,V300052234_L03_6_1.fg.gz,V300052234_L03_6_2.fg.gz
EPI_ISL_13052325,hCoV-19/env/Hubei/IVDC-0018/2020,2020-01-01,A18,V300052234_L04_6_1.fg.gz,V300052234_L04_6_2.fg.gz
EPI_ISL_13052327,hCoV-19/env/Hubei/IVDC-0020/2020,2020-01-01,A20,V300052234_L01_5_1.fq.gz,V300052234_L01_5_2.fq.gz
EPI_ISL_13052327,hCoV-19/env/Hubei/IVDC-0020/2020,2020-01-01,A20,V300052234_L02_5_1.fq.gz,V300052234_L02_5_2.fq.gz
EPI_ISL_13052327,hCoV-19/env/Hubei/IVDC-0020/2020,2020-01-01,A20,V300052234_L03_5_1.fq.gz,V300052234_L03_5_2.fq.gz
EPI_ISL_13052327,hCoV-19/env/Hubei/IVDC-0020/2020,2020-01-01,A20,V300052234_L04_5_1.fq.gz,V300052234_L04_5_2.fq.gz
EPI_ISL_13052328,hCoV-19/env/Hubei/IVDC-0033/2020,2020-01-01,A33,V300052234_L01_12_1.fg.gz,V300052234_L01_12_2.fg.gz
EPI_ISL_13052328,hCoV-19/env/Hubei/IVDC-0033/2020,2020-01-01,A33,V300052234_L02_12_1.fg.gz,V300052234_L02_12_2.fg.gz
EPI_ISL_13052328,hCoV-19/env/Hubei/IVDC-0033/2020,2020-01-01,A33,V300052234_L03_12_1.fg.gz,V300052234_L03_12_2.fg.gz
EPI_ISL_13052328,hCoV-19/env/Hubei/IVDC-0033/2020,2020-01-01,A33,V300052234_L04_12_1.fg.gz,V300052234_L04_12_2.fg.gz
EPI_ISL_13052329,hCoV-19/env/Hubei/IVDC-0055/2020,2020-01-01,A55,V300052234_L01_11_1.fq.gz,V300052234_L01_11_2.fq.gz
EPI_ISL_13052329,hCoV-19/env/Hubei/IVDC-0055/2020,2020-01-01,A55,V300052234_L02_11_1.fq.gz,V300052234_L02_11_2.fq.gz
