Filename,Location,Sample_name,Erinaceus amurensis,Sus scrofa,Rattus norvegicus,Oryctolagus cuniculus,Canis lupus,Erinaceus europaeus,Hemiechinus auritus,Bos taurus,Homo sapiens,Nyctereutes procyonoides,Marmota himalayana,Mustela sibirica,Arctonyx collaris,Rhizomys pruinosus,Vulpes zerda,Ovis orientalis,Urocyon cinereoargenteus,Capra aegagrus,Felis margarita,Paguma larvata,Rattus tiomanicus,Otocyon megalotis,Muntiacus putaoensis,Hystrix brachyura
E100000803_L01_36,Wildlife stall 1,Q61,337,0,0,295,1397,54,0,0,29,16789,630,14,119,604,139,24,552,0,25,536,0,218,48,79
E100000803_L01_40,Wildlife stall 1,Q64,68,26,16,202,226,28,0,0,53,172,166,0,0,139,0,0,0,0,0,0,139,0,0,56
E100000804_L01_16,Wildlife stall 1,Q68,66,13,0,302,393,28,0,0,204,39,0,0,0,288,0,0,0,0,0,0,0,0,13,18
E100000804_L01_17,Wildlife stall 1,Q69,89,0,0,19,4290,16,0,0,47,49,0,0,0,26,26,0,0,0,0,0,0,37,28,0
E100000804_L01_20,Wildlife stall 1,Q70,0,0,0,83,134,0,0,0,16,25,0,0,0,26,0,0,0,0,0,0,0,0,0,5869
E100001221_L01_28_1,Water drain,1-29-8,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
E100001221_L01_28_2,Water drain,1-29-8,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
E100001233_L01_10,West sewers,WWS-1#,0,24,0,0,10,0,0,13,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001233_L01_12,Wildlife stall 2,W-8-25-D2,3750,0,62,18,81,658,86,11,68,0,0,48,69,0,0,1494,0,122,0,0,26,0,0,0
E100001233_L01_15,Wildlife stall 2,W-8-25-L,82,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001233_L01_16,Wildlife stall 2,W-8-25-L2,2274,49,0,0,88,393,51,0,40,12,0,16,0,0,0,19,0,23,14,0,0,0,0,0
E100001233_L01_17,East sewage,EWS-2#-2,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001233_L01_1,Wildlife stall 2,W-8-25-D1,337,0,0,14,13,59,14,0,63,0,0,14,0,0,0,20,0,0,0,0,70,0,0,0
E100001233_L01_20,Unknown sewage,EWS-3#-2,0,40,10,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001233_L01_26,West sewers,WWS-2#-3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
E100001233_L01_30,West drain,w-zong-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001233_L01_31,West sewers,WWS-1#-2,0,21,0,0,0,0,0,16,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001233_L01_32,West sewers,wws-1#-0,0,32,36,0,23,0,0,21,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001233_L01_33,West sewers,WWS-1#-3,0,25,0,0,0,0,0,37,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001233_L01_36,Wildlife stall 1,w-6-29-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001318_L01_10_1,Community,CSSQ-1-3,0,0,5489,0,0,0,0,0,28946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001318_L01_10_2,Community,CSSQ-1-3,0,0,4517,0,0,0,0,0,34212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001335_L01_43_1,Wildlife stall 2,8-25-M1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
E100001335_L01_43_2,Wildlife stall 2,8-25-M1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
E100001425_L01_2_1,West sewers,WS-1-1,0,0,0,0,0,0,0,9,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001425_L01_2_2,West sewers,WS-1-1,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001425_L01_4_1,West sewers,WS-2-1,0,0,0,0,0,0,0,0,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001425_L01_4_2,West sewers,WS-2-1,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001425_L01_5_1,West sewers,WS-2-3,0,0,0,0,0,0,0,0,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001425_L01_5_2,West sewers,WS-2-3,0,0,0,0,0,0,0,0,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L01_10_1,West market,F46,0,0,0,0,0,0,0,0,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L01_10_2,West market,F46,0,0,0,0,0,0,0,0,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L01_11_1,West market,A87,0,20,0,0,105,0,0,16,94,0,0,0,0,27,0,58,0,53,0,0,0,0,0,0
V300046953_L01_11_2,West market,A87,0,20,0,0,101,0,0,19,96,0,0,0,0,25,0,52,0,56,0,0,0,0,0,0
V300046953_L01_12_1,West market,A88,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L01_12_2,West market,A88,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L01_1_1,East market,E48,0,229,0,0,0,0,0,6266,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
V300046953_L01_1_2,East market,E48,0,210,0,0,0,0,0,6025,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
V300046953_L01_30_1,West market,F100,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
