Filename,Location,Sample_name,Erinaceus amurensis,Sus scrofa,Rattus norvegicus,Oryctolagus cuniculus,Canis lupus,Erinaceus europaeus,Hemiechinus auritus,Bos taurus,Homo sapiens,Nyctereutes procyonoides,Marmota himalayana,Mustela sibirica,Arctonyx collaris,Rhizomys pruinosus,Vulpes zerda,Ovis orientalis,Urocyon cinereoargenteus,Capra aegagrus,Felis margarita,Paguma larvata,Rattus tiomanicus,Otocyon megalotis,Muntiacus putaoensis,Hystrix brachyura
E100000803_L01_36,Wildlife stall 1,Q61,8062,0,0,8247,14978,1737,0,0,1031,16684,12326,0,3927,11949,1935,915,1904,0,508,11298,0,1773,1376,2804
E100000803_L01_40,Wildlife stall 1,Q64,2184,1100,0,5808,6447,698,0,0,1969,5362,5349,0,0,4411,0,0,0,0,0,0,3049,0,0,1976
E100000804_L01_16,Wildlife stall 1,Q68,2315,0,0,8106,8115,832,0,0,6338,1524,0,0,0,7408,0,0,0,0,0,0,0,0,0,715
E100000804_L01_17,Wildlife stall 1,Q69,3008,0,0,814,15677,645,0,0,1659,1590,0,0,0,946,0,0,0,0,0,0,0,620,1007,0
E100000804_L01_20,Wildlife stall 1,Q70,0,0,0,2142,3536,0,0,0,541,990,0,0,0,908,0,0,0,0,0,0,0,0,0,16294
E100001221_L01_28_1,Water drain,1-29-8,0,0,0,0,0,0,0,0,2441,0,0,0,0,0,0,0,0,0,680,0,0,0,0,0
E100001221_L01_28_2,Water drain,1-29-8,0,0,0,0,0,0,0,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001233_L01_10,West sewers,WWS-1#,0,926,0,0,0,0,0,553,1668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001233_L01_12,Wildlife stall 2,W-8-25-D2,15099,0,2148,697,2889,6020,1247,0,2372,0,0,1591,2320,0,0,14831,0,4011,0,0,903,0,0,0
E100001233_L01_15,Wildlife stall 2,W-8-25-L,2847,0,0,0,0,0,0,0,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001233_L01_16,Wildlife stall 2,W-8-25-L2,14585,1794,0,0,3245,5247,837,0,1467,515,0,664,0,0,0,687,0,932,582,0,0,0,0,0
E100001233_L01_17,East sewage,EWS-2#-2,0,4611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001233_L01_1,Wildlife stall 2,W-8-25-D1,8549,0,0,522,0,1979,504,0,2403,0,0,535,0,0,0,723,0,0,0,0,2261,0,0,0
E100001233_L01_20,Unknown sewage,EWS-3#-2,0,1479,0,0,0,0,0,0,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001233_L01_26,West sewers,WWS-2#-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,0,0,0,0,0,0,0,0
E100001233_L01_30,West drain,w-zong-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001233_L01_31,West sewers,WWS-1#-2,0,817,0,0,0,0,0,694,1757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001233_L01_32,West sewers,wws-1#-0,0,1274,1492,0,853,0,0,835,3531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001233_L01_33,West sewers,WWS-1#-3,0,1014,0,0,0,0,0,1363,3143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001233_L01_36,Wildlife stall 1,w-6-29-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001318_L01_10_1,Community,CSSQ-1-3,0,0,0,0,0,0,0,0,4255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001318_L01_10_2,Community,CSSQ-1-3,0,0,0,0,0,0,0,0,3959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001335_L01_43_1,Wildlife stall 2,8-25-M1,1530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,0,0,0
E100001335_L01_43_2,Wildlife stall 2,8-25-M1,1094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,0,0,0
E100001425_L01_2_1,West sewers,WS-1-1,0,0,0,0,0,0,0,0,2188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001425_L01_2_2,West sewers,WS-1-1,0,0,0,0,0,0,0,0,1421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001425_L01_4_1,West sewers,WS-2-1,0,0,0,0,0,0,0,0,1497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001425_L01_4_2,West sewers,WS-2-1,0,0,0,0,0,0,0,0,1496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001425_L01_5_1,West sewers,WS-2-3,0,0,0,0,0,0,0,0,2505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E100001425_L01_5_2,West sewers,WS-2-3,0,0,0,0,0,0,0,0,2039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L01_10_1,West market,F46,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L01_10_2,West market,F46,0,0,0,0,0,0,0,0,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L01_11_1,West market,A87,0,777,0,0,3864,0,0,833,3140,0,0,0,0,791,0,2621,0,2368,0,0,0,0,0,0
V300046953_L01_11_2,West market,A87,0,769,0,0,3649,0,0,986,3046,0,0,0,0,790,0,2377,0,2713,0,0,0,0,0,0
V300046953_L01_12_1,West market,A88,0,0,0,0,0,0,0,0,1485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L01_12_2,West market,A88,0,0,0,0,0,0,0,0,1384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L01_1_1,East market,E48,0,10069,0,0,0,0,0,16337,0,0,0,0,0,0,0,742,0,0,0,0,0,0,0,0
V300046953_L01_1_2,East market,E48,0,9010,0,0,0,0,0,16331,0,0,0,0,0,0,0,839,0,0,0,0,0,0,0,0
V300046953_L01_30_1,West market,F100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1329,0,0,0,0,0,0,0,0
V300046953_L01_30_2,West market,F100,0,0,0,0,0,0,0,554,0,0,0,0,0,0,0,1094,0,0,0,0,0,0,0,0
V300046953_L01_32_1,West market,B5,0,1716,0,0,0,0,0,16245,4214,0,0,0,0,0,0,16008,0,0,0,0,1017,0,0,0
V300046953_L01_32_2,West market,B5,0,1776,0,0,0,0,0,15887,4110,0,0,0,0,0,0,15846,0,0,0,0,718,0,0,0
V300046953_L01_33_1,East market,E61,0,0,0,0,0,0,0,775,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L01_33_2,East market,E61,0,0,0,0,0,0,0,752,703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L01_4_1,West market,A90,0,0,0,0,0,0,0,0,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L01_4_2,West market,A90,0,0,0,0,0,0,0,0,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L01_5_1,West market,A101,0,3089,0,0,0,0,0,887,10599,0,0,0,0,0,0,4919,0,5340,966,0,0,0,0,0
V300046953_L01_5_2,West market,A101,0,2998,0,0,0,0,0,885,10437,0,0,0,0,0,0,4840,0,5327,1209,0,0,0,0,0
V300046953_L01_6_1,West market,A96,0,515,0,0,0,0,0,0,1042,0,0,0,0,0,0,653,0,0,0,0,0,0,0,0
V300046953_L01_6_2,West market,A96,0,0,0,0,0,0,0,0,1077,0,0,0,0,0,0,561,0,0,0,0,0,0,0,0
V300046953_L01_7_2,West market,A14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L01_8_1,West market,A15,0,0,0,0,0,0,0,0,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L01_8_2,West market,A15,0,0,0,0,0,0,0,732,1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L02_10_1,West market,F46,0,0,0,0,0,0,0,0,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L02_10_2,West market,F46,0,0,0,0,0,0,0,0,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L02_11_1,West market,A87,0,1012,0,0,4416,0,0,850,2771,0,0,0,0,689,0,2177,0,2452,0,0,0,0,0,0
V300046953_L02_11_2,West market,A87,0,1092,0,0,4282,0,0,959,2619,0,0,0,0,689,0,2237,0,2480,0,0,0,0,0,0
V300046953_L02_12_1,West market,A88,0,0,0,0,0,0,0,0,1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L02_12_2,West market,A88,0,0,0,0,0,0,0,0,1556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L02_1_1,East market,E48,0,10152,0,0,0,0,0,16338,0,0,0,0,0,0,0,551,0,0,0,0,0,0,0,0
V300046953_L02_1_2,East market,E48,0,10027,0,0,0,0,0,16317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L02_30_1,West market,F100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1415,0,0,0,0,0,0,0,0
V300046953_L02_30_2,West market,F100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1309,0,0,0,0,0,0,0,0
V300046953_L02_32_1,West market,B5,0,2402,0,0,0,0,0,16200,4418,0,0,0,0,0,0,16000,0,0,0,0,676,0,0,0
V300046953_L02_32_2,West market,B5,0,2154,0,0,0,0,0,16246,4175,0,0,0,0,0,0,15967,0,0,0,0,594,0,0,0
V300046953_L02_33_1,East market,E61,0,1248,0,0,0,0,0,810,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L02_33_2,,,0,896,0,0,0,0,0,649,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L02_4_1,West market,A90,0,0,0,0,0,0,0,0,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L02_4_2,West market,A90,0,0,0,0,0,0,0,0,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L02_5_1,West market,A101,0,3025,0,0,853,0,0,0,10934,0,0,0,0,0,0,3558,0,5622,1131,0,0,0,0,0
V300046953_L02_5_2,West market,A101,0,2926,0,0,874,0,0,698,11155,0,0,0,0,0,0,4003,0,5406,1136,0,0,0,0,0
V300046953_L02_6_1,West market,A96,0,0,0,0,0,0,0,0,1306,0,0,0,0,0,0,887,0,0,0,0,0,0,0,0
V300046953_L02_6_2,West market,A96,0,0,0,0,0,0,0,0,1413,0,0,0,0,0,0,712,0,0,0,0,0,0,0,0
V300046953_L02_7_1,West market,A14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L02_7_2,West market,A14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L02_8_1,West market,A15,0,0,0,0,0,0,0,0,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L02_8_2,West market,A15,0,0,0,0,0,0,0,0,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L03_10_1,West market,F46,0,0,0,0,0,0,0,0,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L03_10_2,,,0,0,0,0,0,0,0,0,754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L03_11_1,West market,A87,0,1035,0,0,3931,0,0,1179,2857,0,0,0,0,829,0,2429,0,2482,0,0,0,0,0,0
V300046953_L03_11_2,West market,A87,0,1001,0,0,3768,0,0,1251,2643,0,0,0,0,833,0,2065,0,2590,0,0,0,0,0,0
V300046953_L03_12_1,West market,A88,0,0,0,0,0,0,0,0,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L03_12_2,West market,A88,0,0,0,0,0,0,0,0,1378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L03_1_1,East market,E48,0,9635,0,0,0,0,0,16338,0,0,0,0,0,0,0,697,0,0,0,0,0,0,0,0
V300046953_L03_1_2,East market,E48,0,9929,0,0,0,0,0,16338,0,0,0,0,0,0,0,651,0,0,0,0,0,0,0,0
V300046953_L03_30_1,West market,F100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1332,0,0,0,0,0,0,0,0
V300046953_L03_30_2,West market,F100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1357,0,0,0,0,0,0,0,0
V300046953_L03_32_1,West market,B5,0,2280,0,0,0,0,0,16257,4330,0,0,0,0,0,0,15860,0,0,0,0,922,0,0,0
V300046953_L03_32_2,West market,B5,0,2286,0,0,0,0,0,16252,4535,0,0,0,0,0,0,16246,0,0,0,0,752,0,0,0
V300046953_L03_33_1,East market,E61,0,825,0,0,0,0,0,1255,738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L03_33_2,,,0,853,0,0,0,0,0,1097,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L03_4_1,West market,A90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L03_4_2,West market,A90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L03_5_1,West market,A101,0,2987,0,0,0,0,0,1005,11073,0,0,0,0,0,0,3992,0,5341,864,0,0,0,0,0
V300046953_L03_5_2,West market,A101,0,2993,0,0,502,0,0,1174,11135,0,0,0,0,0,0,3754,0,5004,1028,0,0,0,0,0
V300046953_L03_6_1,West market,A96,0,0,0,0,0,0,0,0,1159,0,0,0,0,0,0,750,0,0,0,0,0,0,0,0
V300046953_L03_6_2,West market,A96,0,0,0,0,0,0,0,0,1228,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0
V300046953_L03_7_1,West market,A14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L03_7_2,West market,A14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L03_8_1,West market,A15,0,0,0,0,0,0,0,0,1246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
