Sample,qseqid,sseqid,pident,evalue,score,bitscore,length,qstart,qend,sstart,send,stitle,species,query_length
Q61,TRINITY_DN70569_c0_g1_i1,CAJHUB010000715.1,99.003,0,291,538,301,2,300,71940,72240,"CAJHUB010000715.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro742, whole genome shotgun sequence",Nyctereutes procyonoides,328
Q61,TRINITY_DN306_c0_g1_i1,CAJHUB010000765.1,99.003,0,291,538,301,1,299,224642,224342,"CAJHUB010000765.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro788, whole genome shotgun sequence",Nyctereutes procyonoides,299
Q61,TRINITY_DN60450_c0_g1_i1,CAJHUB010000781.1,99.007,0,292,540,302,2,301,3769421,3769722,"CAJHUB010000781.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro801, whole genome shotgun sequence",Nyctereutes procyonoides,304
Q61,TRINITY_DN15613_c1_g1_i1,CAJHUB010000749.1,99.007,0,292,540,302,1,302,41630315,41630615,"CAJHUB010000749.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro773, whole genome shotgun sequence",Nyctereutes procyonoides,302
Q61,TRINITY_DN47414_c0_g1_i1,CAJHUB010000760.1,99.003,0,292,540,301,1,301,24996391,24996091,"CAJHUB010000760.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro783, whole genome shotgun sequence",Nyctereutes procyonoides,301
Q61,TRINITY_DN56682_c1_g1_i1,CAJHUB010000760.1,99.007,0,292,540,302,1,300,25004522,25004823,"CAJHUB010000760.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro783, whole genome shotgun sequence",Nyctereutes procyonoides,300
Q61,TRINITY_DN14635_c0_g1_i1,CAJHUB010000766.1,99.007,0,293,542,302,1,302,8155,7854,"CAJHUB010000766.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro789, whole genome shotgun sequence",Nyctereutes procyonoides,302
Q61,TRINITY_DN57916_c0_g1_i1,CAJHUB010000789.1,99.01,0,293,542,303,1,303,32058501,32058200,"CAJHUB010000789.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro809, whole genome shotgun sequence",Nyctereutes procyonoides,306
Q61,TRINITY_DN59037_c0_g1_i1,CAJHUB010000709.1,99.01,0,294,544,303,1,303,100242,100544,"CAJHUB010000709.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro737, whole genome shotgun sequence",Nyctereutes procyonoides,303
Q61,TRINITY_DN16256_c1_g1_i1,CAJHUB010000714.1,99.01,0,294,544,303,1,303,136824,136522,"CAJHUB010000714.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro741, whole genome shotgun sequence",Nyctereutes procyonoides,303
Q61,TRINITY_DN37033_c0_g1_i1,CAJHUB010000622.1,99.013,0,294,544,304,1,304,98058,98359,"CAJHUB010000622.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro659, whole genome shotgun sequence",Nyctereutes procyonoides,304
Q61,TRINITY_DN24698_c0_g1_i1,CAJHUB010000769.1,99.01,0,294,544,303,1,303,4346602,4346904,"CAJHUB010000769.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro791, whole genome shotgun sequence",Nyctereutes procyonoides,310
Q61,TRINITY_DN16969_c0_g1_i1,CAJHUB010000595.1,99.336,0,294,544,301,1,301,31387,31686,"CAJHUB010000595.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro634, whole genome shotgun sequence",Nyctereutes procyonoides,301
Q61,TRINITY_DN75703_c0_g1_i1,NW_020356645.1,99.336,0,295,545,301,1,301,26916,27216,"NW_020356645.1 Vulpes vulpes strain TameXAggressive cross unplaced genomic scaffold, VulVul2.2 scaffold211, whole genome shotgun sequence",Vulpes vulpes,301
Q61,TRINITY_DN15817_c0_g1_i1,NC_006587.4,99.336,0,295,545,301,24,324,47022261,47021961,"NC_006587.4 Canis lupus familiaris isolate Tasha breed boxer chromosome 5, alternate assembly Dog10K_Boxer_Tasha, whole genome shotgun sequence",Canis lupus,324
Q61,TRINITY_DN69640_c0_g1_i1,CAJHUB010000789.1,99.336,0,295,545,301,1,301,32200022,32199722,"CAJHUB010000789.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro809, whole genome shotgun sequence",Nyctereutes procyonoides,301
Q61,TRINITY_DN10972_c0_g1_i1,CAJHUB010000725.1,99.336,0,295,545,301,1,301,237446,237746,"CAJHUB010000725.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro751, whole genome shotgun sequence",Nyctereutes procyonoides,302
